date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirarogane Noel,Kiryu Coco
2021-06-15,776000,1520000,662000,1360000,1130000,1260000
2021-06-16,777000,1530000,663000,1370000,1130000,1260000
2021-06-17,778000,1530000,663000,1370000,1130000,1270000
2021-06-18,778000,1530000,664000,1370000,1130000,1270000
2021-06-19,779000,1530000,666000,1370000,1130000,1270000
2021-06-20,780000,1530000,667000,1380000,1140000,1270000
2021-06-21,781000,1540000,668000,1380000,1140000,1270000
2021-06-22,782000,1540000,669000,1380000,1140000,1280000
2021-06-23,782000,1540000,670000,1380000,1140000,1280000
2021-06-24,783000,1540000,671000,1390000,1140000,1280000
2021-06-25,784000,1540000,672000,1390000,1150000,1280000
2021-06-26,784000,1540000,673000,1390000,1150000,1290000
2021-06-27,786000,1550000,674000,1390000,1150000,1290000
2021-06-28,786000,1550000,675000,1390000,1150000,1300000
2021-06-29,787000,1550000,676000,1400000,1160000,1310000
2021-06-30,788000,1550000,677000,1400000,1160000,1320000
2021-07-01,789000,1560000,679000,1400000,1160000,1370000
2021-07-02,791000,1560000,681000,1410000,1160000,1380000
2021-07-03,790000,1560000,682000,1410000,1160000,1390000
2021-07-04,792000,1570000,684000,1410000,1160000,1390000
2021-07-05,793000,1570000,685000,1420000,1160000,1390000
2021-07-06,794000,1570000,686000,1420000,1170000,1400000
2021-07-07,795000,1570000,687000,1420000,1170000,1400000
2021-07-08,797000,1570000,688000,1430000,1170000,1400000
2021-07-09,798000,1580000,689000,1440000,1170000,1400000
2021-07-10,799000,1580000,691000,1440000,1170000,1400000
2021-07-11,801000,1580000,697000,1440000,1180000,1400000
2021-07-12,802000,1580000,700000,1450000,1180000,1400000
2021-07-13,803000,1580000,701000,1450000,1180000,1400000
2021-07-14,804000,1590000,702000,1450000,1180000,1400000
2021-07-15,805000,1590000,703000,1460000,1190000,1400000
2021-07-16,806000,1600000,704000,1460000,1190000,1400000
2021-07-17,807000,1600000,704000,1460000,1190000,1400000
2021-07-18,808000,1600000,706000,1460000,1190000,1400000
2021-07-19,809000,1600000,706000,1460000,1190000,1410000
2021-07-20,810000,1610000,707000,1470000,1200000,1410000
2021-07-21,810000,1610000,709000,1470000,1200000,1410000
2021-07-22,812000,1610000,710000,1470000,1200000,1410000
2021-07-23,812000,1610000,711000,1470000,1200000,1410000
2021-07-24,813000,1610000,712000,1470000,1200000,1410000
2021-07-25,814000,1620000,713000,1480000,1210000,1410000
2021-07-26,815000,1620000,714000,1480000,1210000,1410000
2021-07-27,816000,1620000,715000,1480000,1210000,1410000
2021-07-28,816000,1620000,716000,1480000,1210000,1410000
2021-07-29,817000,1620000,717000,1490000,1210000,1410000
2021-07-30,818000,1620000,718000,1490000,1220000,1410000
2021-07-31,818000,1620000,719000,1500000,1220000,1410000
2021-08-01,820000,1630000,720000,1500000,1220000,1410000
2021-08-02,820000,1630000,721000,1500000,1220000,1410000
2021-08-03,821000,1630000,722000,1510000,1230000,1410000
2021-08-04,822000,1630000,723000,1510000,1230000,1410000
2021-08-05,822000,1630000,723000,1520000,1230000,1410000
2021-08-06,823000,1630000,724000,1520000,1230000,1410000
2021-08-07,824000,1640000,727000,1520000,1230000,1410000
2021-08-08,825000,1640000,728000,1530000,1230000,1410000
2021-08-09,826000,1640000,729000,1530000,1240000,1410000
2021-08-10,827000,1640000,731000,1530000,1240000,1410000
2021-08-11,827000,1640000,733000,1540000,1240000,1420000
2021-08-12,828000,1640000,734000,1540000,1240000,1420000
2021-08-13,829000,1650000,735000,1550000,1240000,1420000
2021-08-14,830000,1650000,736000,1550000,1250000,1420000
2021-08-15,830000,1650000,737000,1550000,1250000,1420000
2021-08-16,831000,1650000,739000,1550000,1250000,1420000
2021-08-17,832000,1650000,740000,1560000,1250000,1420000
2021-08-18,832000,1650000,741000,1560000,1250000,1420000
2021-08-19,833000,1660000,742000,1560000,1250000,1420000
2021-08-20,833000,1660000,743000,1560000,1260000,1420000
2021-08-21,834000,1660000,744000,1570000,1260000,1420000
2021-08-22,835000,1660000,748000,1570000,1260000,1420000
2021-08-23,836000,1660000,749000,1570000,1260000,1420000
2021-08-24,836000,1660000,749000,1570000,1260000,1420000
2021-08-25,837000,1670000,750000,1580000,1270000,1420000
2021-08-26,837000,1670000,751000,1580000,1270000,1420000
2021-08-27,838000,1670000,751000,1580000,1270000,1420000
2021-08-28,839000,1670000,752000,1580000,1270000,1420000
2021-08-29,839000,1670000,753000,1580000,1270000,1420000
2021-08-30,840000,1670000,754000,1590000,1270000,1420000
2021-08-31,840000,1670000,755000,1590000,1280000,1420000
2021-09-01,841000,1680000,756000,1590000,1280000,1420000
2021-09-02,841000,1680000,756000,1590000,1280000,1420000
2021-09-03,842000,1680000,757000,1600000,1280000,1420000
2021-09-04,842000,1680000,758000,1600000,1280000,1420000
2021-09-05,843000,1680000,759000,1600000,1290000,1420000
2021-09-06,843000,1680000,760000,1600000,1290000,1420000
2021-09-07,847000,1680000,760000,1600000,1290000,1420000
2021-09-08,848000,1690000,761000,1600000,1290000,1420000
2021-09-09,849000,1690000,761000,1610000,1290000,1420000
2021-09-10,849000,1690000,762000,1610000,1290000,1430000
2021-09-11,850000,1690000,763000,1610000,1290000,1430000
2021-09-12,851000,1690000,764000,1610000,1300000,1430000
2021-09-13,851000,1700000,764000,1610000,1300000,1430000
2021-09-14,851000,1700000,765000,1620000,1300000,1430000
2021-09-15,852000,1700000,765000,1620000,1300000,1430000
2021-09-16,852000,1700000,766000,1620000,1300000,1430000
2021-09-17,852000,1700000,766000,1620000,1300000,1430000
2021-09-18,853000,1700000,767000,1620000,1300000,1430000
2021-09-19,854000,1700000,768000,1630000,1300000,1430000
2021-09-20,855000,1710000,769000,1630000,1300000,1430000
2021-09-21,856000,1710000,769000,1630000,1300000,1430000
2021-09-22,856000,1710000,770000,1630000,1300000,1430000
2021-09-23,857000,1710000,771000,1630000,1310000,1430000
2021-09-24,857000,1710000,771000,1630000,1310000,1430000
2021-09-25,858000,1710000,772000,1640000,1310000,1430000
2021-09-26,858000,1710000,773000,1640000,1310000,1430000
2021-09-27,858000,1710000,773000,1640000,1310000,1430000
2021-09-28,859000,1720000,774000,1640000,1310000,1430000
2021-09-29,859000,1720000,774000,1640000,1310000,1430000
2021-09-30,860000,1720000,775000,1640000,1310000,1430000
2021-10-01,860000,1720000,775000,1640000,1310000,1440000
2021-10-02,860000,1720000,776000,1640000,1310000,1440000
2021-10-03,861000,1720000,777000,1650000,1320000,1440000
2021-10-04,861000,1720000,777000,1650000,1320000,1440000
2021-10-05,862000,1730000,778000,1650000,1320000,1440000
2021-10-06,862000,1730000,779000,1650000,1320000,1440000
2021-10-07,863000,1730000,779000,1650000,1320000,1440000
2021-10-08,864000,1730000,780000,1650000,1320000,1440000
2021-10-09,865000,1730000,780000,1650000,1320000,1440000
2021-10-10,865000,1730000,781000,1650000,1320000,1440000
2021-10-11,866000,1730000,781000,1650000,1330000,1440000
2021-10-12,867000,1730000,782000,1650000,1330000,1440000
2021-10-13,868000,1740000,783000,1650000,1330000,1440000
2021-10-14,868000,1740000,784000,1660000,1330000,1440000
2021-10-15,868000,1740000,784000,1660000,1330000,1440000
2021-10-16,869000,1740000,785000,1660000,1330000,1440000
2021-10-17,869000,1740000,785000,1660000,1330000,1440000
2021-10-18,870000,1740000,786000,1660000,1330000,1440000
2021-10-19,870000,1740000,786000,1660000,1330000,1440000
2021-10-20,871000,1740000,787000,1660000,1330000,1440000
2021-10-21,872000,1740000,788000,1660000,1330000,1440000
2021-10-22,872000,1740000,788000,1660000,1330000,1440000
2021-10-23,873000,1750000,789000,1660000,1330000,1440000
2021-10-24,874000,1750000,789000,1660000,1330000,1440000
2021-10-25,874000,1750000,790000,1660000,1330000,1440000
2021-10-26,875000,1750000,790000,1660000,1340000,1440000
2021-10-27,876000,1750000,790000,1660000,1340000,1440000
2021-10-28,876000,1750000,791000,1670000,1340000,1440000
2021-10-29,877000,1750000,791000,1670000,1340000,1440000
2021-10-30,877000,1750000,792000,1670000,1340000,1440000
2021-10-31,877000,1750000,792000,1670000,1340000,1440000
